seroreversion accounted for,test_id,source  (F=FDA testing/M=manufacturer [sometimes through FDA]/O = other),citation,test_name,sensitivity_estimate,sen_lower95CI,sen_upper95CI,number of COVID+ testing seropositive for sensitivity (TP),total number of COVID+ tested for sensitivity (TP + FN),specificity_estimate,spec_lower95CI,spec_upper95CI,number of COVID- testing seronegative for specificity (TN),total number of COVID- tested for specificity (TN + FP),notes
Yes,616,,"n-295 (tabelle 3 on page 25)  ,  https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Germany, Straubing: Euroimmun anti-spike",53.1,,,17,32,100,95.4,100,80,80,
Yes,617,,"n-295 (tabelle 3 on page 25)  ,  n-236  ,  https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Germany, Mitte (in Berlin): Euroimmun anti-spike",60.0,,,21,35,100,95.4,100,80,80,
Yes,618,,"n-26 (page 20) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Freiburg + Breisgau-Hochschwarzwald (phase 1): Euroimmun anti-spike,75.0,,,12,16,100,95.4,100,80,80,
Yes,619,,"n-26 (page 20) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Magdeburg (phase 1): Euroimmun anti-spike,92.9,,,26,28,100,95.4,100,80,80,
Yes,620,,"n-26 (page 20) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Osnabrück district + Osnabrück city (phase 1): Euroimmun anti-spike,64.7,,,11,17,100,95.4,100,80,80,
Yes,621,,"n-26 (page 20) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Reutlingen (phase 1): Euroimmun anti-spike,90.9,,,10,11,100,95.4,100,80,80,
Yes,622,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Freiburg + Breisgau-Hochschwarzwald (phase 2): Euroimmun anti-spike,90.9,,,10,11,100,95.4,100,80,80,
Yes,623,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Reutlingen (phase 2): Euroimmun anti-spike,81.0,,,17,21,100,95.4,100,80,80,
Yes,624,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Magdeburg, unvaccinated (phase 2): Euroimmun anti-spike",82.5,,,33,40,100,95.4,100,80,80,
Yes,625,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Osnabrück district + Osnabrück city (phase 2): Euroimmun anti-spike,91.9,,,34,37,100,95.4,100,80,80,
Yes,626,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Chemnitz, unvaccinated (phases 1 + 2): Euroimmun anti-spike",85.6,,,220,257,100,95.4,100,80,80,
Yes,627,,"n-26 (page 20) , n-173 (eSupplement-Table 3) , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance","Vorpommern-Greifswald, unvaccinated: Euroimmun anti-spike",81.4,,,70,86,100,95.4,100,80,80,
Yes,700,,"n-43  ,  http://www.livzondiagnostics.com/en-us/info/17.html","Andorra, phase 1: Livzon COVID-19 IgG IgM lateral flow ",80.7,,,305,378,99.2,,,355,358,
Yes,701,,"n-105 (supplementary figure 7 [samples on day 21 or later])  ,  http://www.livzondiagnostics.com/en-us/info/17.html",Denmark (We Test): Livzon COVID-19 IgG IgM lateral flow ,25.1,,,162,645,99.2,,,355,358,
Yes,800,,"n-22  ,  https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ","Denmark (SSI), phases 1 - 4: Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",93.5,,,217,232,100.0,,,306,306,
Yes,801,,"n-194  ,  https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ","Denmark (SSI), phase 5: Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",94.2,,,484,514,100.0,,,306,306,
Yes,802,,"n-195  ,  https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ","Denmark (SSI), phase 6: Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",91.0,,,282,310,100.0,,,306,306,
Yes,803,,"n-284 (table 3)  ,  https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ","Brussels, Flanders, and Wallonia (phases 1-5): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",68.7,,,,103,100.0,,,306,306,sensitivity is population-weighted
Not yet,804,,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ,"Brussels, Flanders, and Wallonia (phase 1): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",,,,,,100.0,,,306,306,
Not yet,805,,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ,"Brussels, Flanders, and Wallonia (phase 2): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",,,,,,100.0,,,306,306,
Not yet,806,,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ,"Brussels, Flanders, and Wallonia (phase 3): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",,,,,,100.0,,,306,306,
Not yet,807,,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ,"Brussels, Flanders, and Wallonia (phase 4): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",,,,,,100.0,,,306,306,
Not yet,808,,https://www.ystwt.cn/wp-content/uploads/2020/05/Brochure-Wantai-SARS-CoV-2-Ab-ELISA.pdf  ,"Brussels, Flanders, and Wallonia (phase 5): Wantai ELISA SARS-CoV-2 Total Antibody, IgG IgM (against RBD)",,,,,,100.0,,,306,306,
Not yet,900,,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196 , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/","Ticino (Cantonal Office), phase 1: Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",,,,,,98.9,,,269,272,
Not yet,901,,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196 , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/","Ticino (Cantonal Office), phase 2: Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",,,,,,98.9,,,269,272,
Not yet,902,,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196 , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/","Ticino (Cantonal Office), phase 3: Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",,,,,,98.9,,,269,272,
Not yet,903,,"https://cdn.shopify.com/s/files/1/0094/4698/1732/files/POCT_-_VR-11_Clinical_Study.pdf?v=1591354196 , https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8038148/","Ticino (Cantonal Office), phase 4: Techno Genetics, Rapid Test SARS-CoV-2 IgM/IgG Gold, anti-nucleocapsid",,,,,,98.9,,,269,272,
No,1000,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Jersey, phase 1: Healgen COVID-19 IgG/IgM rapid test cassettes",100,88.7,100,30,30,97.5,91.3,99.3,78,80,
Not yet,1100,,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3355-a001.pdf,"Jersey, phase 2: CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit",,,,,,98.8,93.3,99.8,79,80,
Not yet,1101,,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3355-a001.pdf,"Jersey, phase 3: CTK Biotech Onsite COVID 19 IgG/IgM rapid test kit",,,,,,98.8,93.3,99.8,79,80,
Not yet,1200,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Munich, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1201,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Munich, phases 2,3: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1202,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Northern California, phase 3: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1203,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Geneva, phase 4: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1204,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Germany, national (Forsa), phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1205,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Germany, national (Forsa), phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1206,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Arizona, Maricopa County: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Yes,1207,,"https://www.mhlw.go.jp/content/10900000/000934787.pdf  [n-280, table 4 on page 6]  ,  https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html","Aichi + Fukuoka [phase 2], Tokyo + Miyagi + Osaka [phase 3]: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",79.5,,,105,132,99.80,99.69,99.88,10432,10453,
Yes,1208,,"https://www.mhlw.go.jp/content/10900000/000934787.pdf  [n-280, table 4 on page 6]  ,  https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html","Aichi + Fukuoka [phase 3], Tokyo + Miyagi + Osaka [phase 4]: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",77.4,,,178,230,99.80,99.69,99.88,10432,10453,
Not yet,1209,,https://diagnostics.roche.com/us/en/products/params/elecsys-anti-sars-cov-2.html,"Saarland, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid IgG IgM ",,,,,,99.80,99.69,99.88,10432,10453,
Not yet,1300,,https://journals.asm.org/doi/10.1128/JCM.02596-20,Denver: Vitros Ortho total Ig anti-spike,,,,,,100,99.4,100,605,605,
Not yet,1301,,https://journals.asm.org/doi/10.1128/JCM.02596-20,DeKalb and Fulton (CDC): Vitros Ortho total Ig anti-spike,,,,,,100,99.4,100,605,605,
Yes,1302,,n-82 (table S-5),"Northern California, phase 1: Vitros Ortho total Ig anti-spike (high cutoff)",80.6,64.0,91.8,,,100,63.1,100,,,
Not yet,1400,,https://journals.asm.org/doi/10.1128/JCM.02596-20,Connecticut: Vitros Ortho (not total) IgG anti-spike,,,,,,100,99.4,100,600,600,
Not yet,1500,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,New York City: DiaSorin SARS-CoV-2 S1/S2 IgG,,,,,,99.3,98.6,99.6,1082,1090,
Not yet,1501,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Lodi province: DiaSorin SARS-CoV-2 S1/S2 IgG,,,,,,99.3,98.6,99.6,1082,1090,
Not yet,1502,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Ohio: DiaSorin SARS-CoV-2 S1/S2 IgG,,,,,,99.3,98.6,99.6,1082,1090,
No,1600,,n-82 (table S-5),"Northern California, phase 2: Vitros Ortho total Ig anti-spike (low cutoff), AND in-house anti-spike IgG ELISA",88.9,73.9,96.9,,,see note to the right,,,,,"treat specificity as a product of both tests (""VITROS"" and ""ELISA IgG"" in table S-5 of n-82); uses the lower value for sensitivity between the two assays (lack data to adjust for seroreversion for the ELISA IgG)"
Not yet,1700,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Geneva, phase 3: Elecsys Anti-SARS-CoV-2 Roche spike",,,,,,,,,5990,5991,
Not yet,1701,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Geneva, phase 4: Elecsys Anti-SARS-CoV-2 Roche spike",,,,,,,,,5990,5991,
No,1800,,,"Grand Nancy: Euroimmun spike, Platelia SARS-CoV-2 Total Ab Assay nucleocapsid, Biosynex (positive on at least 2 out of 3)",see note to the right,,,,,see note to the right,,,,,"treat specificity as product of the 2 tests with the lower specificity (Euroimmune + Biosynex), treat sensitivity as equivalent to whichever seroreversion-adjusted sensitivity is lower between Euroimmune vs. Platelia (this implicitly pessmistically assumes Biosynex has the worst seroreversion-adjusted senstivity of the 3 assays)"
Not yet,1900,,"n-138 , https://academic.oup.com/jid/article/222/9/1452/5885163",Netherlands phase 1: in-house anti-spike assay,,,,,,,,,399,404,
Not yet,1901,,"n-138 , https://academic.oup.com/jid/article/222/9/1452/5885163",Netherlands phase 2: in-house anti-spike assay,,,,,,,,,399,404,
Not yet,1902,,"n-138 , https://academic.oup.com/jid/article/222/9/1452/5885163",Netherlands phase 3: in-house anti-spike assay,,,,,,,,,399,404,
Not yet,1903,,"n-138 , https://academic.oup.com/jid/article/222/9/1452/5885163",Netherlands phase 4: in-house anti-spike assay,,,,,,,,,399,404,
Not yet,1904,,"n-138 , https://academic.oup.com/jid/article/222/9/1452/5885163",Netherlands phase 5: in-house anti-spike assay,,,,,,,,,399,404,
Yes,2000,,https://www.fda.gov/media/137493/download,"USA national, COVIDVu, phase 1: BioRad Platelia Total Antibody nucleocapsid",60.6,,,77,127,99.3,,,596,600,
Yes,2001,,https://www.fda.gov/media/137493/download,"California, COVIDVu: BioRad Platelia Total Antibody nucleocapsid",65.0,,,13,20,99.3,,,596,600,
Yes,2002,,https://www.fda.gov/media/137493/download,"DeKalb and Fulton counties, COVIDVu: BioRad Platelia Total Antibody nucleocapsid",66.7,,,34,51,99.3,,,596,600,
Not yet,2003,,https://www.fda.gov/media/137493/download,King County: BioRad Platelia Total Antibody nucleocapsid,,,,,,99.3,,,596,600,
Not yet,2004,,https://www.fda.gov/media/137493/download,"USA national, COVIDVu, phase 2: BioRad Platelia Total Antibody nucleocapsid",,,,,,99.3,,,596,600,
Yes,2005,,https://www.fda.gov/media/137493/download,"Georgia, COVIDVu: BioRad Platelia Total Antibody nucleocapsid",66.7,,,34,51,99.3,,,596,600,
Not yet,2100,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,Dallas + Tarrant: Abbott Alinity i SARS-CoV-2 IgG nucleocapsid,,,,,,99.0,94.6,99.8,99,100,
No,2200,,"n-206 , n-207 (insufficient evidence on seroreverion in tables S1 to S3)",Placer et al.: Stanford Health Care RBD ELISA,88.6,,,117,132,99.7,,,396,397,
No,2300,,n-57,Orange County: Coronavirus antigen microarray (CoVAM),93.9,,,93,99,100.0,,,88,88,
No,2400,,https://www.nature.com/articles/s41467-020-18848-0 (cited from n-23),Stockholm County: in-house dual-S anti-spike,99.2,,,241,243,99.8,,,441,442,
No,2500,,https://www.medrxiv.org/content/10.1101/2020.11.05.20226449v5.full-text,"Vienna: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid, Euroimmun spike, in-house neutralization assay (positive on multiple, including the neutralizaton assay)",93.8,,,60,64,100.0,,,1117,1117,
No,2501,,https://www.medrxiv.org/content/10.1101/2020.11.05.20226449v5.full-text,"Austria, national: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid, Euroimmun spike, in-house neutralization assay (positive on multiple, including the neutralizaton assay)",93.8,,,60,64,100.0,,,1117,1117,
Not yet,2600,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Fribourg, phase 1: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Not yet,2601,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Fribourg, phase 2: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Not yet,2602,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Neuchâtel, phase 1: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Not yet,2603,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Neuchâtel, phase 2: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Not yet,2604,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Neuchâtel, phase 3: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Not yet,2605,,"https://journals.asm.org/doi/10.1128/JVI.01828-20 , https://link.springer.com/article/10.1007/s00038-020-01494-0","Vaud, phase 1: SenASTrIS test (Sensitive Anti-SARS-CoV-2 Spike Trimer Immunoglobulin Serological)",,,,,,99.7,,,363,364,
Yes,2700,,n-78,"Holyoke: Massachusetts General Hospital, anti-spike ELISA",66.7,,,12,18,99.5,,,1541,1548,
No,2800,,https://sph.nus.edu.sg/wp-content/uploads/2020/06/COVID-19-Science-Report-Diagnostics-1-Jun_updated.pdf,Cantabria: Hangzhou Clongene IgM/IgG rapid test,97.4,,,75,77,98.9,,,89,90,
No,2900,,https://www.accessdata.fda.gov/cdrh_docs/presentations/maf/maf3277-a001.pdf,Torrejón de Ardoz: Testsealabs COVID-19 IgG IgM rapid test,83.3,,,25,30,92.5,,,74,80,
Not yet,3000,,https://web.archive.org/web/20200623000020/https://www.norrbotten.se/publika/lg/kom/Corona/Rapport%20-%20f%c3%b6rekomst%20av%20antikroppar/F%c3%b6rekomst%20av%20antikroppar%20mot%20covid-19%20i%20Norrbottens%20befolkning%20maj%202020%20-%20Region%20Norrbotten%20rapport%20200618.pdf,"Norrbotten County: Abbott Architect IgG, re-test positives with Euroimmun anti-spike (must be positive on both) ",,,,,,,,,200,200,
Yes,3100,,"n-172 , https://sam.lrv.lt/uploads/sam/documents/files/KORONA/Serologini%C5%B3%20tyrim%C5%B3%20naudojimo%20rekomendacijos%20Versija_1.pdf (from n-25)","Lithuania, 6 cities and municipalities: AMP Rapid Test SARS-CoV-2 IgG/IgM",50.0,,,6,12,99.4,96.6,99.9,,,
Yes,3300,,https://www.fda.gov/media/137493/download,"USA, Houston: BioRad Platelia Total Antibody nucleocapsid + in-house ELISA IgG anti-spike (positive on either)",85.3,,,29,34,99.3,,,596,600,
Yes,3400,,"n-174 , https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance",Los Angeles County: Luminex xMAP for spike and nucleocaspid (Los Angeles study used RBD portion),97.0,90.3,99.1,,,99.3,98.3,99.7,599,603,
Yes,3500,,n-178,Hillsborough County: Mount Sinai RBD ELISA (New York),96.8,,,122,126,94.1,,,,,
Not yet,3600,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Puerto Rico, phase 1: for IgM - Abbott AdvisefDx IgM on ALINITY i anti-spike; for IgG - Abbott SARS-CoV-2 IgG on ALINITY i anti-nucleocapsid",see note to right,,,,,99.0,94.6,99.8,99,100,"use seroreversion curve for IgG assay since it has substantial seroreversion + vast majority of positive samples are IgG+, specificity is based on IgG assay for similar reason"
Not yet,3601,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Puerto Rico, phase 2: for IgM - Abbott AdvisefDx IgM on ALINITY i anti-spike; for IgG - Abbott SARS-CoV-2 IgG on ALINITY i anti-nucleocapsid",see note to right,,,,,99.0,94.6,99.8,99,100,"use seroreversion curve for IgG assay since it has substantial seroreversion + vast majority of positive samples are IgG+, specificity is based on IgG assay for similar reason"
Not yet,3700,,https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21,"Finland, phase 1: in-house THL Finland FMIA anti-spike assay",,,,,,100,99.1,100,402,402,
Not yet,3701,,https://journals.asm.org/doi/epub/10.1128/Spectrum.01131-21,"Finland, phase 2: in-house THL Finland FMIA anti-spike assay",,,,,,100,99.1,100,402,402,
Not yet,3800,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Tokyo, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3801,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Tokyo, phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3802,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Osaka, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3803,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Osaka, phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3804,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Miyagi, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3805,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Miyagi, phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3806,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"South Korea, phase 2: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3807,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"South Korea, phase 3: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3808,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"South Korea, phase 4: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3809,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Aichi, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3810,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"Fukuoka, phase 1: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3811,,https://www.fda.gov/medical-devices/coronavirus-disease-2019-covid-19-emergency-use-authorizations-medical-devices/eua-authorized-serology-test-performance,"South Korea, phases 1-4: Elecsys Anti-SARS-CoV-2 Roche nucleocapsid AND Abbott Architect IgG (positive on both tests)",see note to right,,,,,see note to right,,,,,"treat sensitivity as equivalent to Abbott (due to seroreversion), treat specificity as a product of the specificity of both tests"
Not yet,3900,,n-169,"Canada, national (Ab-C), phase 1: Sinai Health (Toronto) anti-spike ELISA, strict cutoff",,,,,,99.12,,,,339,
Not yet,4000,,https://www.medrxiv.org/content/10.1101/2021.10.25.21265476v1.full,"Canada, national (Ab-C), phase 2: Sinai Health (Toronto) anti-spike anti-RBD anti-nucleocapsid ELISA, lenient cutoff",,,,,,99.1,,,,554,
