authors / representative study location,initial source,inclusion / exclusion,reason for exclusion,duplicate,study also found in search from representative samples (see column B),citations,,"Medrxiv, term 1","Medrxiv, term 2","PubMed, term 1","PubMed, term 2","Biorxiv, term 1","Biorxiv, term 2"
Kemp et al.,Medrxiv,excluded,no seroreversion data (quantification of number of seropositive samples),,,https://www.medrxiv.org/content/10.1101/2020.12.05.20241927v3.full,https://www.nature.com/articles/s41586-021-03291-y,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Yuen et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.15.20192765v4.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wagner et al.,Medrxiv,excluded,special population (employees),,,https://www.medrxiv.org/content/10.1101/2020.12.22.20248604v1.full,https://www.nature.com/articles/s43856-021-00012-4,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Harvey et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.12.18.20248336v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wallace et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.12.15.20247981v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Huen et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.11.08.20227975v3.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Follmann et al.,Medrxiv,excluded,post-vaccine,,,https://www.medrxiv.org/content/10.1101/2020.12.14.20248137v1.full,https://www.acpjournals.org/doi/10.7326/M20-8149,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lee et al. #1,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.12.13.20248143v1.full,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(21)00129-4,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Taubel et al.,Medrxiv,excluded,special population (largely healthcare workers and visitors),,,https://www.medrxiv.org/content/10.1101/2020.12.08.20245894v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lee et al. #2,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.12.02.20242750v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Stoddard et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.11.29.20240440v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Dehgani-Mobaraki et al. #2,Medrxiv,excluded,special population (largely healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.11.21.20236117v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ragonnet et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.08.25.20182162v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Chiang et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.11.12.20230656v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wendel et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.11.12.20230391v1.full-text,https://onlinelibrary.wiley.com/doi/10.1111/trf.16323,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Grzelak et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.11.12.20230466v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Makatsa et al.,Medrxiv,excluded,no seroreversion data (some samples collected before time of seroconversion),,,https://www.medrxiv.org/content/10.1101/2020.08.04.20167940v2.full-text,https://www.frontiersin.org/articles/10.3389/fpls.2021.589940/full,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Keshavarz et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.11.09.20228411v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Selhorst et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.11.05.20225052v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Jin et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.11.06.20220087v1.full-text,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0250319,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Sieling et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.11.04.20225417v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lumley et al. #2,Medrxiv,excluded,special population (healthcare workers),Yes,,https://www.medrxiv.org/content/10.1101/2020.11.02.20224824v1.full,https://academic.oup.com/cid/article/73/3/e699/6064824,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
St. Petersburg location: Barchuk et al. #2,Medrxiv (also search from representative samples),excluded,no seroreversion data,Yes,Yes,https://www.medrxiv.org/content/10.1101/2020.11.02.20221309v1.full,https://www.nature.com/articles/s41598-021-92206-y,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Murrell et al.,Medrxiv,excluded,special population (healthcare workers and hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.10.29.20219931v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ogega et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.10.28.20220996v1.full,https://www.jci.org/articles/view/145516,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Magalhães et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.10.25.20218735v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Garritsen et al.,Medrxiv,included,-,,,https://www.medrxiv.org/content/10.1101/2020.10.07.20187641v2.full,https://www.tandfonline.com/doi/full/10.1080/23744235.2021.1893378,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
England location (REACT-2): Ward et al.,Medrxiv (also search from representative samples),included,-,Yes,Yes,"https://www.medrxiv.org/content/10.1101/2020.10.26.20219725v1.full-text  ,  https://www.nature.com/articles/s41467-021-21237-w  [n-14]","https://www.thelancet.com/journals/lanepe/article/PIIS2666-7762(21)00075-2/fulltext  [n-102]  ,  https://www.medrxiv.org/content/10.1101/2021.07.21.21260926v1.supplementary-material  [n-15]",,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ojeda et al.,Medrxiv,included,-,Yes,,https://www.medrxiv.org/content/10.1101/2020.10.21.20216960v1.full-text,https://journals.plos.org/plospathogens/article?id=10.1371/journal.ppat.1009161,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,"PubMed: ""COVID-19 longitudinal, antibody waning""",,
Boonyaratanakornkit et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.10.06.20207472v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Le Vu et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.10.20.20213116v1.full-text,https://www.nature.com/articles/s41467-021-23233-6,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Garcia-Beltran et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.10.15.20213512v1.full-text,https://www.cell.com/cell/fulltext/S0092-8674(20)31685-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Laing et al. #3,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (multiplex microsphere-based immunoassay),,,https://www.medrxiv.org/content/10.1101/2020.10.14.20207050v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Prowse et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.25.20201939v3.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Reynolds et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.10.13.20211763v1.full-text,https://www.science.org/doi/10.1126/sciimmunol.abf3698,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Fotis et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.09.09.20191122v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Mortgat et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.10.03.20204545v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Thompson et al. #1,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.10.20186064v2.full,https://www.cell.com/cell-reports/fulltext/S2211-1247(21)00177-7,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Abo-Leyah et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.10.02.20205641v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
O'Nions et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.09.29.20202846v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Fozouni et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.28.20201947v1.full,https://www.cell.com/cell/fulltext/S0092-8674(20)31623-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ogbe et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.09.28.20202929v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Abu Raddad et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.08.24.20179457v2.full,https://academic.oup.com/cid/article/73/7/e1830/6033728,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Goldman et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.09.22.20192443v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Hashem et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.09.21.20198309v1.full-text,https://www.mdpi.com/1999-4915/12/12/1390,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Gregorova et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.17.20190033v1.full-text,https://elifesciences.org/articles/63430,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Vassallo et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.09.17.20195131v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Kainulainen et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.09.16.20195446v1.full,https://www.nature.com/articles/s41598-021-91300-5,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Newell et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.09.04.20187724v2.full,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244855,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rigatti et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.09.20191296v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Bortz III et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.10.20192187v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wheatley et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.09.20191205v2.full,https://www.nature.com/articles/s41467-021-21444-5,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Luo et al. #2,Medrxiv,excluded,no seroreversion data (lack quantified number of seropositives),,,https://www.medrxiv.org/content/10.1101/2020.07.30.20165522v4.full-text,https://academic.oup.com/cid/article/73/9/e3095/5905578,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lavine et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.09.03.20187856v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ojal et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.09.02.20186817v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Annen et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.09.01.20185942v1.full-text,https://onlinelibrary.wiley.com/doi/10.1111/trf.16261,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Meyer et al.,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.08.31.20184895v1.full-text,https://onlinelibrary.wiley.com/doi/10.1111/trf.16321,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Legros et al.,Medrxiv,excluded,"no seroreversion data (lack quantified number of seropositives), special population (largely hospitalized patients)",,,https://www.medrxiv.org/content/10.1101/2020.08.27.20182493v1.full-text,https://www.nature.com/articles/s41423-020-00588-2,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Post et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.08.25.20178806v1.full,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0244126,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Shrotri et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.08.24.20180679v1.full,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0245532,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Isho et al. (via Canada [Ab-C] location),Medrxiv (also search from representative samples),included,-,Yes,Yes,https://www.medrxiv.org/content/10.1101/2020.08.01.20166553v2.full,https://www.science.org/doi/10.1126/sciimmunol.abe5511,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Oguntuyo et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.13.20157222v2.full,https://journals.asm.org/doi/10.1128/mBio.02492-20,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Tighe et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.08.22.20176834v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rathe et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.18.20177196v1.full-text,https://academic.oup.com/jid/article/223/7/1120/6047577,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ripperger et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.14.20174490v1.full-text,https://www.cell.com/immunity/fulltext/S1074-7613(20)30445-3,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Rodda et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.11.20171843v2.full,https://www.cell.com/cell/fulltext/S0092-8674(20)31565-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Emmenegger et al.,Medrxiv,excluded,special population (hospitalized patients and blood donors),,,https://www.medrxiv.org/content/10.1101/2020.05.31.20118554v4.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Crawford et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.06.20169367v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Muecksch et al.,Medrxiv,included,-,Yes (Fei et al.),,https://www.medrxiv.org/content/10.1101/2020.08.05.20169128v1.full-text,https://academic.oup.com/jid/article/223/3/389/5952470,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Butler et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.08.05.20168971v1.full,https://www.frontiersin.org/articles/10.3389/fimmu.2020.618685/full,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Cohen et al. #2,Medrxiv,excluded,special population (dialysis patients),,,https://www.medrxiv.org/content/10.1101/2020.08.03.20163642v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Zeng et al.,Medrxiv,excluded,"special population (hospitalized patients, heatlhcare workers, and blood donors)",,,https://www.medrxiv.org/content/10.1101/2020.08.02.20166819v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ke et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.07.31.20166298v1.full,https://www.sciencedirect.com/science/article/pii/S0022519321000436,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Brehm et al.,Medrxiv,excluded,special population (heatlhcare workers),,,https://www.medrxiv.org/content/10.1101/2020.07.31.20165936v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ferretti et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.07.24.20161653v2.full,https://www.cell.com/immunity/fulltext/S1074-7613(20)30447-7,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Thompson et al. #2,Medrxiv,excluded,special population (blood donors),,,https://www.medrxiv.org/content/10.1101/2020.04.13.20060467v2.full,https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2020.25.42.2000685,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lennon et al.,Medrxiv,excluded,special population (nursing home residents and healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.07.20.20157792v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Grandjean et al. #2,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.07.16.20155663v2.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Unterman et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.07.16.20153437v1.full,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wajnberg et al.,Medrxiv,excluded,no seroreversion data (quantification of number of seropositive samples),,,https://www.medrxiv.org/content/10.1101/2020.07.14.20151126v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ioannidis,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.05.13.20101253v3.full-text,https://www.who.int/bulletin/volumes/99/1/20-265892.pdf,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Seow et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.07.09.20148429v1.full-text,https://www.nature.com/articles/s41564-020-00813-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Coste et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.07.09.20149864v1.full-text,https://www.sciencedirect.com/science/article/pii/S1386653220304327,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Yang et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.07.01.20144030v1.full-text,https://academic.oup.com/jmcb/article/13/3/197/6159619,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Eyre et al.,Medrxiv,excluded,special population (nursing home residents),,,https://www.medrxiv.org/content/10.1101/2020.06.24.20135038v2.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Micochova et al.,Medrxiv,excluded,special population (hospitalized patients),,,https://www.medrxiv.org/content/10.1101/2020.06.16.20133157v3.full-text,https://www.cell.com/cell-reports-medicine/fulltext/S2666-3791(20)30125-7,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Houlihan et al.,Medrxiv,excluded,special population (healthcare workers),,,https://www.medrxiv.org/content/10.1101/2020.06.08.20120584v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Lynch et al.,Medrxiv,excluded,"non-commercial in-house assay + not used in seroprevalence study, special population (largely hospitalized patients)",,,https://www.medrxiv.org/content/10.1101/2020.06.03.20121525v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Ng + Goldgof et al.,Medrxiv,excluded,special population (hospitalized patients and blood donors),,,https://www.medrxiv.org/content/10.1101/2020.05.19.20107482v2.full-text,https://www.nature.com/articles/s41467-020-18468-8,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Brett et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.04.29.20082065v1.full-text,https://www.pnas.org/content/117/41/25897,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Galanti et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.04.27.20082032v1.full-text,https://academic.oup.com/jid/article/223/3/409/5868459,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Hachim et al. #2,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (luciferase immune precipitation assay),,,https://www.medrxiv.org/content/10.1101/2020.04.30.20085670v1.full-text,https://www.nature.com/articles/s41590-020-0773-7,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Burbelo et al.,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study (luciferase immune precipitation assay),,,https://www.medrxiv.org/content/10.1101/2020.04.20.20071423v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wang et al. #2,Medrxiv,excluded,non-commercial in-house assay + not used in seroprevalence study,,,https://www.medrxiv.org/content/10.1101/2020.04.15.20065623v3.full-text,https://academic.oup.com/cid/article/71/10/2688/5851474,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Braun et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.04.17.20061440v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Amanat et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.03.17.20037713v2.full-text,https://www.nature.com/articles/s41591-020-0913-5,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Wölfel et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.03.05.20030502v1.full-text,,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Kissler et al.,Medrxiv,excluded,no seroreversion data,,,https://www.medrxiv.org/content/10.1101/2020.03.04.20031112v1.full-text,https://www.science.org/doi/10.1126/science.abb5793,,"Medrxiv: ""COVID-19 longitudinal, antibody waning""",,,,
Schönborn et al.,PubMed,excluded,no seroreversion data,,,https://pubmed.ncbi.nlm.nih.gov/35113987/,https://ashpublications.org/blood/article/doi/10.1182/blood.2021014214/483827/Most-Anti-PF4-Antibodies-in-Vaccine-induced-Immune,,,"PubMed: ""COVID-19 seroreversion""",,,
Ogundipe,PubMed,excluded,no seroreversion data,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8791411/,,,,"PubMed: ""COVID-19 seroreversion""",,,
Weigert et al.,PubMed,excluded,"post-vaccine, special population (dialysis patients)",,,https://pubmed.ncbi.nlm.nih.gov/35004771/,https://www.frontiersin.org/articles/10.3389/fmed.2021.796676/full,,,"PubMed: ""COVID-19 seroreversion""",,,
Mishra et al. #2,PubMed,excluded,"post-vaccine, special population (healthcare workers)",,,https://pubmed.ncbi.nlm.nih.gov/34976499/,https://www.cureus.com/articles/76494-waning-of-anti-spike-antibodies-in-azd1222-chadox1-vaccinated-healthcare-providers-a-prospective-longitudinal-study,,,"PubMed: ""COVID-19 seroreversion""",,,
Barcellini et al.,PubMed,excluded,special population (students at schools),,,https://pubmed.ncbi.nlm.nih.gov/34473776/,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0257046,,,"PubMed: ""COVID-19 seroreversion""",,,
Portilho et al.,PubMed,excluded,special population (largely hospitalized patients and/or healthcare workers),,,https://pubmed.ncbi.nlm.nih.gov/34428312/,https://onlinelibrary.wiley.com/doi/10.1002/jmv.27290,,,"PubMed: ""COVID-19 seroreversion""",,,
Bond et al.,PubMed,included,-,,,https://pubmed.ncbi.nlm.nih.gov/34412859/,https://www.pathologyjournal.rcpa.edu.au/article/S0031-3025(21)00417-7/fulltext,,,"PubMed: ""COVID-19 seroreversion""",,,
Peghin et al.,PubMed,excluded,no seroreversion data (quantification needed for figure 2 [YHLO iFlash SARS CoV-2]),,,https://pubmed.ncbi.nlm.nih.gov/34379530/,https://journals.asm.org/doi/full/10.1128/JCM.01138-21,,,"PubMed: ""COVID-19 seroreversion""",,,
Masiá et al.,PubMed,excluded,special population (hospitalized patients),,,https://pubmed.ncbi.nlm.nih.gov/34303083/,https://www.sciencedirect.com/science/article/pii/S0896841121001116?via%3Dihub,,,"PubMed: ""COVID-19 seroreversion""",,,
Song et al.,PubMed,excluded,special population (pregnant women),,,https://pubmed.ncbi.nlm.nih.gov/34234001/,https://bmjopen.bmj.com/content/11/7/e053036.long,,,"PubMed: ""COVID-19 seroreversion""",,,
Hamer et al.,PubMed,excluded,no seroreversion data (non-human animals),,,https://pubmed.ncbi.nlm.nih.gov/34069453/,https://www.mdpi.com/1999-4915/13/5/938/htm,,,"PubMed: ""COVID-19 seroreversion""",,,
Papasavas et al.,PubMed,excluded,special population (healthcare workers),,,https://pubmed.ncbi.nlm.nih.gov/33930487/,https://www.journalofhospitalinfection.com/article/S0195-6701(21)00174-2/fulltext,,,"PubMed: ""COVID-19 seroreversion""",,,
Poland,PubMed,excluded,no seroreversion data,,,https://pubmed.ncbi.nlm.nih.gov/33730754/,https://academic.oup.com/cid/article/73/12/2163/6175316,,,"PubMed: ""COVID-19 seroreversion""",,,
Soriano et al.,PubMed,excluded,no non-serologic initial diagnosis,,,https://pubmed.ncbi.nlm.nih.gov/33684560/,https://www.ijidonline.com/article/S1201-9712(21)00201-0/fulltext  [n-241],,,"PubMed: ""COVID-19 seroreversion""",,,
Self et al.,PubMed,excluded,special population (healthcare workers),,,https://pubmed.ncbi.nlm.nih.gov/33237893/,https://www.cdc.gov/mmwr/volumes/69/wr/mm6947a2.htm,,,"PubMed: ""COVID-19 seroreversion""",,,
Niess et al.,PubMed,excluded,special population (transplant recipient),,,https://pubmed.ncbi.nlm.nih.gov/33047475/,https://onlinelibrary.wiley.com/doi/10.1111/ajt.16349,,,"PubMed: ""COVID-19 seroreversion""",,,
